"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,location,punct,source,sourcetype,"splunk_server","splunk_server_group","src_ip",status,tag,"tag::eventtype",timeendpos,timestamp,timestartpos,username
"2026-03-01 17:59:00,charlie,172.16.0.3,failed,London","2026-03-01T17:59:00.000+0100",17,1,59,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 17:59:00",0,charlie
"2026-03-01 17:49:00,henry,192.168.1.22,failed,Dubai","2026-03-01T17:49:00.000+0100",17,1,49,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 17:49:00",0,henry
"2026-03-01 17:46:00,frank,198.51.100.23,failed,Berlin","2026-03-01T17:46:00.000+0100",17,1,46,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Berlin,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"198.51.100.23",failed,,,19,"2026-03-01 17:46:00",0,frank
"2026-03-01 17:43:00,alice,192.168.1.22,failed,London","2026-03-01T17:43:00.000+0100",17,1,43,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 17:43:00",0,alice
"2026-03-01 17:39:00,bob,203.0.113.45,failed,Lagos","2026-03-01T17:39:00.000+0100",17,1,39,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Lagos,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 17:39:00",0,bob
"2026-03-01 17:30:00,alice,192.168.1.10,failed,Dubai","2026-03-01T17:30:00.000+0100",17,1,30,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 17:30:00",0,alice
"2026-03-01 17:23:00,frank,172.16.0.3,failed,New York","2026-03-01T17:23:00.000+0100",17,1,23,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,"New York","--_::,,...,,_","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"172.16.0.3",failed,,,19,"2026-03-01 17:23:00",0,frank
"2026-03-01 17:20:00,grace,192.168.1.22,failed,London","2026-03-01T17:20:00.000+0100",17,1,20,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 17:20:00",0,grace
"2026-03-01 16:58:00,grace,10.0.0.5,failed,London","2026-03-01T16:58:00.000+0100",16,1,58,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,London,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"10.0.0.5",failed,,,19,"2026-03-01 16:58:00",0,grace
"2026-03-01 16:47:00,emma,203.0.113.45,failed,Toronto","2026-03-01T16:47:00.000+0100",16,1,47,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Toronto,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"203.0.113.45",failed,,,19,"2026-03-01 16:47:00",0,emma
"2026-03-01 16:41:00,bob,192.168.1.10,failed,Abuja","2026-03-01T16:41:00.000+0100",16,1,41,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.10",failed,,,19,"2026-03-01 16:41:00",0,bob
"2026-03-01 16:30:00,emma,192.168.1.22,failed,Dubai","2026-03-01T16:30:00.000+0100",16,1,30,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Dubai,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"192.168.1.22",failed,,,19,"2026-03-01 16:30:00",0,emma
"2026-03-01 16:24:00,grace,8.8.8.8,failed,Abuja","2026-03-01T16:24:00.000+0100",16,1,24,march,0,sunday,2026,local,,"LAPTOP-MI5C5FE1","auth_dataset",1,Abuja,"--_::,,...,,","splunk_login_dataset.csv.csv",csv,"LAPTOP-MI5C5FE1",,"8.8.8.8",failed,,,19,"2026-03-01 16:24:00",0,grace
